system:time_start,LST_Value
1577836800000,
1577923200000,
1578009600000,27.53000000000003
1578096000000,
1578182400000,
1578268800000,
1578355200000,
1578441600000,
1578528000000,
1578614400000,26.53000000000003
1578700800000,
1578787200000,
1578873600000,
1578960000000,
1579046400000,
1579132800000,
1579219200000,
1579305600000,
1579392000000,
1579478400000,
1579564800000,
1579651200000,
1579737600000,
1579824000000,
1579910400000,
1579996800000,
1580083200000,
1580169600000,
1580256000000,
1580342400000,23.890000000000043
1580428800000,
1577836800000,
1577923200000,
1578009600000,
1578096000000,
1578182400000,
1578268800000,
1578355200000,
1578441600000,
1578528000000,30.450000000000045
1578614400000,
1578700800000,
1578787200000,
1578873600000,
1578960000000,
1579046400000,
1579132800000,
1579219200000,
1579305600000,
1579392000000,
1579478400000,
1579564800000,
1579651200000,
1579737600000,
1579824000000,
1579910400000,
1579996800000,
1580083200000,
1580169600000,
1580256000000,
1580342400000,27.410000000000025
1580428800000,
